Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
164,Winnipeg Jets,Pavel Kraskovsky\kraskpa01,RU,C,18,,YAROSLAVL 2 (Russia-Jr.),,,,,,,,,,,,
165,Dallas Stars,John Nyberg\nyberjo01,SE,LW,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,
166,Detroit Red Wings,Julius Vahatalo\vahatju01,FI,LW,19,,TPS JR. (Finland-Jr.),,,,,,,,,,,,
167,Minnesota Wild,Chase Lang\langch01,CA,C,18,,CALGARY (WHL),,,,,,,,,,,,
168,Philadelphia Flyers,Radel Fazleev\fazlera01,RU,C,18,,CALGARY (WHL),,,,,,,,,,,,
169,Minnesota Wild,Reid Duke\dukere01,CA,C,18,,LETHBRIDGE (WHL),,,,,,,,,,,,
170,Tampa Bay Lightning,Cristiano Digiacinto\digiacr01,CA,LW,18,,WINDSOR (OHL),,,,,,,,,,,,
171,San Jose Sharks,Kevin Labanc\labanke01,US,RW,18,2019,BARRIE (OHL),141,20,46,66,6,60,,,,,,
172,St. Louis Blues,Chandler Yakimowicz\yakimch01,US,RW,18,,LONDON (OHL),,,,,,,,,,,,
173,Pittsburgh Penguins,Jaden Lindo\lindoja01,CA,RW,18,,OWEN SOUND (OHL),,,,,,,,,,,,
174,Colorado Avalanche,Maximilian Pajpach\pajpama01,SK,G,18,,SLOVAKIA U18 (Slovakia-2),,,,,,,,,,,,
175,Calgary Flames,Adam Ollas-Mattsson\ollasad01,SE,D,18,,DJURGARDEN JR. (Sweden-Jr.),,,,,,,,,,,,
176,St. Louis Blues,Samuel Blais\blaissa01,CA,LW,18,2019,VICTORIAVILLE (QMJHL),19,1,2,3,-2,6,,,,,,
177,Montreal Canadiens,Hayden Hawkey\hawkeha01,US,G,19,,OMAHA (USHL),,,,,,,,,,,,
178,Chicago Blackhawks,Dylan Sikura\sikurdy01,CA,C,19,2018,AURORA (OJHL),5,0,3,3,2,0,,,,,,
179,Chicago Blackhawks,Ivan Nalimov\nalimiv01,RU,G,20,,SKA St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,
180,Los Angeles Kings,Matthew Mistele\mistema01,CA,LW,18,,PLYMOUTH (OHL),,,,,,,,,,,,
181,Buffalo Sabres,Victor Olofsson\olofsvi01,SE,RW,19,,MODO JR. (Sweden-Jr.),,,,,,,,,,,,
182,Florida Panthers,Hugo Fagerblom\fagerhu01,SE,G,18,,Frolunda U18 (Sweden-Jr.),,,,,,,,,,,,
183,Edmonton Oilers,Keven Bouchard\bouchke01,CA,G,18,,VAL-D'OR (QMJHL),,,,,,,,,,,,
184,Calgary Flames,Austin Carroll\carroau01,CA,RW,20,,VICTORIA (WHL),,,,,,,,,,,,
185,Tampa Bay Lightning,Cameron Darcy\darcyca01,US,C,20,,CAPE BRETON (QMJHL),,,,,,,,,,,,
186,Vancouver Canucks,Mackenze Stewart\stewama01,CA,D,19,,PRINCE ALBERT (WHL),,,,,,,,,,,,
187,Carolina Hurricanes,Kyle Jenkins\jenkiky01,CA,D,18,,SAULT STE. MARIE (OHL),,,,,,,,,,,,
188,Toronto Maple Leafs,Pierre Engvall\engvapi01,SE,LW,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,
189,Ottawa Senators,Kelly Summers\summeke01,CA,D,18,,Carleton Place (CCHL),,,,,,,,,,,,
190,Ottawa Senators,Francis Perron\perrofr01,CA,LW,18,,ROUYN-NORANDA (QMJHL),,,,,,,,,,,,
191,Arizona Coyotes,Jared Fiegl\fieglja01,US,LW,18,,USA U-18 (USHL),,,,,,,,,,,,
192,Winnipeg Jets,Matt Ustaski\ustasma01,US,C/LW,20,,LANGLEY (BCHL),,,,,,,,,,,,
193,Arizona Coyotes,Edgars Kulda\kuldaed01,LV,LW,19,,EDMONTON (WHL),,,,,,,,,,,,
194,Washington Capitals,Kevin Elgestal\elgeske01,SE,RW,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,
195,Dallas Stars,Patrick Sanvido\sanvipa01,CA,D,18,,WINDSOR (OHL),,,,,,,,,,,,
196,Detroit Red Wings,Axel Holmstrom\holmsax01,SE,C,18,,SKELLEFTEA JR. (Sweden-Jr.),,,,,,,,,,,,
197,Columbus Blue Jackets,Olivier Leblanc\leblaol01,CA,D,18,,SAINT JOHN (QMJHL),,,,,,,,,,,,
198,Philadelphia Flyers,Jesper Pettersson\petteje01,SE,D,20,,LINKOPING (Sweden),,,,,,,,,,,,
199,Minnesota Wild,Pavel Jenys\jenyspa01,CZ,C,18,,BRNO (Czech),,,,,,,,,,,,
200,New York Islanders,Lukas Sutter\suttelu01,US,C,20,,RED DEER (WHL),,,,,,,,,,,,
201,Detroit Red Wings,Alexander Kadeykin\kadeyal01,RU,C,20,,Mytischi (Russia),,,,,,,,,,,,
202,St. Louis Blues,Dwyer Tschantz\tschadw01,US,RW,19,,INDIANA (USHL),,,,,,,,,,,,
203,Pittsburgh Penguins,Jeff Taylor\tayloje01,US,D,20,,Union (ECAC),,,,,,,,,,,,
204,Colorado Avalanche,Julien Nantel\nanteju01,CA,C/LW,18,,ROUYN-NORANDA (QMJHL),,,,,,,,,,,,
205,Anaheim Ducks,Ondrej Kase\kaseon01,CZ,RW,18,2018,CHOMUTOV (Czech),119,25,28,53,17,32,,,,,,
206,Boston Bruins,Emil Johansson\johanem01,SE,D,18,,HV 71 JR. (Sweden-Jr.),,,,,,,,,,,,
207,Montreal Canadiens,Jake Evans\evansja02,CA,C/RW,18,,ST. MICHAELS (OJHL),,,,,,,,,,,,
208,Chicago Blackhawks,Jack Ramsey\ramseja01,US,RW,18,,PENTICTON (BCHL),,,,,,,,,,,,
209,Los Angeles Kings,Spencer Watson\watsosp01,CA,RW,18,,KINGSTON (OHL),,,,,,,,,,,,
210,Los Angeles Kings,Jacob Middleton\middlja01,CA,D,18,,OTTAWA (OHL),,,,,,,,,,,,
